faculty_id,faculty_name,designation,department_id,email,phone,experience
F0042,Zansi Deep,Professor,D002,rsridhar@example.net,913209345,3
F0043,William Vig,Associate Professor,D004,ekannan@example.org,705011744,10
F0044,Gaurangi Issac,Associate Professor,D002,jai03@example.com,6130187441,19
F0045,Jacob Sunder,Assistant Professor,D003,imaran64@example.org,823283050,7
F0046,William Manda,Assistant Professor,D004,theodorekakar@example.org,372449030,2
F0047,Meghana Wali,Associate Professor,D005,jacobarya@example.com,6132397181,12
F0048,Ethan Rana,Associate Professor,D005,isha96@example.com,106761555,25
F0049,Aahana Narula,Assistant Professor,D002,sastryabha@example.com,5203386041,18
F0050,Chandani Rai,Assistant Professor,D003,jedwin@example.com,26688972,3
F0051,Jagdish Ravi,Assistant Professor,D002,ikbal78@example.net,912542940,11
F0052,Libni Dutta,Associate Professor,D002,riakalita@example.org,919167501,21
F0053,Nirja Bajaj,Assistant Professor,D003,esastry@example.com,4058782200,11
F0054,Anamika Konda,Assistant Professor,D002,buchbimala@example.com,911628121,14
F0055,Yug Nagi,Assistant Professor,D002,radhikaranganathan@example.com,7815747315,22
F0056,Darpan Wason,Associate Professor,D001,widisha79@example.com,917948896,12
F0057,Tristan Krishnan,Associate Professor,D004,chokshichandran@example.org,403187611,24
F0058,Alexander Sridhar,Associate Professor,D005,eram@example.net,7039029219,10
F0059,Eshana Bahl,Professor,D002,rdugal@example.org,8330961145,18
F0060,Jagdish Rajagopal,Professor,D004,hkohli@example.org,911707820,25
F0061,Jason Seth,Professor,D002,luke81@example.org,110536548,18
F0062,Brijesh Ramesh,Professor,D005,dnaik@example.com,917519957,18
F0063,Barkha Gaba,Professor,D004,ekapad14@example.net,917368574,20
F0064,Qarin Ratti,Professor,D004,edave@example.org,628411913,22
F0065,Lavanya Dar,Associate Professor,D002,rushil06@example.com,697098093,2
F0066,Patrick Prashad,Associate Professor,D003,ipalla@example.org,911182784,5
F0067,Lila Kohli,Professor,D002,dhingraekta@example.net,885438811,21
F0068,Yochana More,Associate Professor,D002,boseanirudh@example.com,411473911,11
F0069,Ayaan Vaidya,Professor,D004,yogipranav@example.net,5674299323,3
F0070,Bhavya Deshmukh,Associate Professor,D003,yahviradhakrishnan@example.com,58249733,17
F0071,Triya Sood,Professor,D005,maxbhat@example.com,477054612,14
F0072,Victor Balay,Professor,D004,frado48@example.net,919916500,20
F0073,Gaurang Mallick,Associate Professor,D002,kmodi@example.org,4673890655,3
F0074,Simon Walla,Assistant Professor,D002,tejas23@example.org,880727817,11
F0075,Frederick Khare,Professor,D005,sathetripti@example.com,918760191,3
F0076,Nimrat Goda,Professor,D001,kashviwalla@example.net,864839063,20
F0077,Zaid Buch,Assistant Professor,D003,mbora@example.org,914334486,12
F0078,Lila Nagy,Professor,D005,pradhakrishnan@example.com,9913889462,22
F0079,Wahab Atwal,Professor,D005,paninimaster@example.org,910502149,18
F0080,Shivani Kumar,Professor,D005,janya32@example.net,306677385,23
F0081,Kalpit Virk,Associate Professor,D002,gparmer@example.net,211524493,3
F0082,Lekha Bakshi,Professor,D003,hredhaangupta@example.org,661754266,24
F0083,Chanakya Pandey,Assistant Professor,D002,daminiborra@example.net,2251233018,17
F0084,William Chaudhuri,Associate Professor,D004,banikgayathri@example.com,910439954,9
F0085,Gunbir Rajagopalan,Assistant Professor,D004,cherianchanchal@example.com,788220708,22
F0086,Victor Dhillon,Professor,D002,madanrajeshri@example.org,915709415,18
F0087,Radhika Sandhu,Assistant Professor,D001,ayush34@example.com,821960815,18
F0088,Brinda Bansal,Professor,D004,jackson31@example.org,915648646,4
F0089,Vinaya Pau,Assistant Professor,D001,lkadakia@example.net,170797150,23
F0090,Yasti Issac,Assistant Professor,D003,upadhriti09@example.net,4803441087,12
F0091,Lohit Madan,Professor,D004,naiduaadi@example.org,913696717,16
F0092,Nimrat Chanda,Assistant Professor,D001,kashvi83@example.net,914653119,18
F0093,Sathvik Banerjee,Professor,D005,tanishandra@example.com,914124258,16
F0094,Kamya Chada,Assistant Professor,D003,chandaparth@example.net,910944221,25
F0095,Maanav Thakur,Assistant Professor,D002,pallavi02@example.com,843396948,23
F0096,Aarna Nagi,Professor,D001,ykothari@example.org,499615400,8
F0097,Krishna Parikh,Assistant Professor,D003,charankurian@example.net,914679691,2
F0098,Vedhika Soni,Associate Professor,D001,shivani17@example.net,2978412454,10
F0099,Dayita Agarwal,Associate Professor,D004,xtank@example.com,474582228,23
F0100,Bimala Purohit,Assistant Professor,D005,victorparsa@example.org,882457177,18
F0101,Yauvani Doctor,Assistant Professor,D003,vyanjana52@example.org,7056851414,10
F0102,Bhavini Chaudhary,Assistant Professor,D005,srivastavafrado@example.org,5499318648,3
F0103,Aarna Chandra,Associate Professor,D003,janaki54@example.net,915240553,9
F0104,Zehaan Cherian,Assistant Professor,D002,rohan12@example.com,927353867,20
F0105,Urmi Chand,Assistant Professor,D004,sinhaomisha@example.net,913605742,15
F0106,Baljiwan Chowdhury,Assistant Professor,D004,thomasmohan@example.org,2630881948,21
F0107,Hemal Palan,Assistant Professor,D002,dev68@example.net,6683405281,20
F0108,Ayaan Ramachandran,Associate Professor,D005,vritti59@example.com,2236102601,19
F0109,Vritti Tiwari,Assistant Professor,D001,matthewgola@example.org,989780832,18
F0110,Arya Sura,Assistant Professor,D005,dhruv48@example.net,751923906,3
F0111,Leela Ranganathan,Associate Professor,D005,mpant@example.org,536897422,20
F0112,Bhavini Kar,Professor,D004,lekhamangat@example.org,160360859,2
F0113,Faqid Dayal,Associate Professor,D004,balaanika@example.net,646548646,17
F0114,Diya Datta,Associate Professor,D002,vidhilala@example.net,918046910,3
F0115,Baghyawati Natarajan,Professor,D002,raosamesh@example.org,912691157,16
F0116,Henry Ramaswamy,Assistant Professor,D002,bhagatyoshita@example.net,127934224,20
F0117,Ranbir Nadig,Associate Professor,D001,jackrandhawa@example.com,914772348,7
F0118,Urvashi Gopal,Assistant Professor,D004,onkar59@example.com,114529005,8
F0119,Frederick Som,Associate Professor,D005,ekbalbanik@example.com,912252069,23
F0120,Oeshi Sami,Assistant Professor,D001,ksem@example.com,900842217,18
F0121,Hema Kala,Professor,D003,yochanamurty@example.com,919380867,23
F0122,Dominic Master,Associate Professor,D004,saxenaharinakshi@example.com,806764282,9
F0123,Frederick Dyal,Assistant Professor,D005,nikitabava@example.org,911158762,19
F0124,Vincent Chauhan,Associate Professor,D005,pateljagat@example.org,3448975392,3
F0125,Vedhika Sabharwal,Professor,D001,hvenkatesh@example.org,916392462,15
F0126,Aarna Chaudry,Professor,D004,warrioreesha@example.net,9799495234,16
F0127,Theodore Sekhon,Assistant Professor,D003,tdalal@example.org,6588183201,12
F0128,Aarna Dhingra,Assistant Professor,D002,rachitamble@example.com,72620022,5
F0129,Urvi Gera,Associate Professor,D002,devanudarsh@example.net,3339692256,8
F0130,Yug Bakshi,Professor,D001,jacob43@example.net,2942286516,18
F0131,Vidhi Kade,Professor,D003,dugarchasmum@example.com,862466102,11
F0132,Tanish Keer,Assistant Professor,D003,vasana46@example.net,75757666,11
F0133,Raghav Zachariah,Associate Professor,D001,jagatdave@example.org,917318988,20
F0134,Anmol Gade,Professor,D003,znadkarni@example.org,917053782,17
F0135,Chanchal Dube,Associate Professor,D001,fswaminathan@example.net,910828819,22
F0136,Pranav Gola,Professor,D001,santdamyanti@example.org,5357522563,13
F0137,Kamya Hora,Assistant Professor,D001,shravyamuni@example.com,910468318,22
F0138,Qadim Saxena,Assistant Professor,D005,mohansiddharth@example.com,1370136025,14
F0139,Raghav Menon,Assistant Professor,D003,jacobrai@example.net,938462701,20
F0140,Dakshesh Chana,Associate Professor,D001,manndarpan@example.org,5711738969,5
F0141,Shivani Ravi,Professor,D005,abhatti@example.org,918686485,17
F0142,Manbir Rau,Professor,D002,mahika10@example.org,5587104192,8
F0143,Kevin Sachdeva,Professor,D005,darika21@example.com,914247778,24
F0144,Panini Dua,Associate Professor,D001,shivansh25@example.org,917358925,13
F0145,Ayush Vig,Assistant Professor,D001,doramohammed@example.org,5918045696,18
F0146,Kalpit Modi,Associate Professor,D004,rajanhemani@example.org,912676245,17
F0147,Deepa Patil,Associate Professor,D005,badalbaghyawati@example.net,384715786,8
F0148,Mitali Mishra,Assistant Professor,D004,sathevasudha@example.net,1191129899,24
F0149,Samuel Sehgal,Assistant Professor,D001,sagarpranav@example.org,1010421888,21
F0150,Xalak Pall,Professor,D005,palanharini@example.com,2992217619,8
F0151,Gunbir Sandal,Associate Professor,D002,riashan@example.com,4833886212,20
F0152,Sneha Madan,Associate Professor,D001,qram@example.net,5633056355,5
F0153,Krish Sibal,Assistant Professor,D005,basakrushil@example.com,497693051,14
F0154,Leela Borah,Associate Professor,D002,virajmuni@example.org,912029434,15
F0155,Simon Issac,Associate Professor,D004,parthbarad@example.net,9107769359,15
F0156,Siya Char,Professor,D004,xpau@example.com,6232973124,21
F0157,Vansha Chandran,Associate Professor,D003,anita56@example.com,7738626623,2
F0158,Eesha Pradhan,Assistant Professor,D003,tthakur@example.net,916084682,18
F0159,Naksh Salvi,Professor,D002,fraval@example.net,171622920,10
F0160,Ansh Bhargava,Professor,D003,dmannan@example.net,5685643086,21
F0161,Waida Dugar,Associate Professor,D001,anandlibni@example.net,5773840043,2
F0162,Pranav Kamdar,Associate Professor,D005,chandani82@example.org,2632725563,19
F0163,Nihal Madan,Professor,D004,anyahayre@example.com,108534814,25
F0164,Peter Maharaj,Associate Professor,D001,devika14@example.net,914341565,21
F0165,Vasana Pant,Associate Professor,D002,olivervohra@example.net,398078867,3
F0166,Pavani Soni,Professor,D002,iwarrior@example.net,910179209,15
F0167,Champak Khosla,Associate Professor,D003,ladligarg@example.net,918000021,11
F0168,Hemal Gaba,Assistant Professor,D003,bhattchaitanya@example.net,912014262,7
F0169,Gagan Lala,Professor,D001,nandamatthew@example.com,29792919,22
F0170,Aachal Mannan,Assistant Professor,D002,mpurohit@example.net,465199826,2
F0171,Mitali Arya,Assistant Professor,D004,parekhodika@example.com,486818098,25
F0172,Urvi Bhardwaj,Associate Professor,D003,nidhisubramaniam@example.org,917631920,25
F0173,Suhani Sabharwal,Professor,D001,qsane@example.com,917375220,3
F0174,Radhika Chahal,Assistant Professor,D001,qabildhingra@example.com,911963065,18
F0175,Noah Sami,Assistant Professor,D005,gautam83@example.com,3480827542,13
F0176,Harrison Behl,Professor,D002,daniel49@example.org,784509770,5
F0177,Triveni Puri,Professor,D002,luke59@example.net,772170235,25
F0178,Vihaan Dhawan,Associate Professor,D005,lakshmi04@example.com,9158679662,11
F0179,Kalpit Shanker,Assistant Professor,D004,kaladivya@example.net,96618377,17
F0180,Widisha Bava,Assistant Professor,D002,shettychatura@example.net,1334006934,2
F0181,Abhiram Luthra,Associate Professor,D005,rkanda@example.net,912391359,24
F0182,Frado Sidhu,Associate Professor,D004,rkashyap@example.org,6612211541,5
F0183,Zilmil Kothari,Assistant Professor,D002,amrita41@example.com,172085962,7
F0184,Ayaan Wali,Professor,D004,hmahal@example.org,912021419,17
F0185,Ethan Peri,Professor,D005,fsolanki@example.com,584089672,25
F0186,Meghana Tella,Assistant Professor,D004,banikurishilla@example.net,910500236,18
F0187,Lohit Choudhary,Assistant Professor,D003,brahmbhattumang@example.net,503156921,11
F0188,Lohit Gade,Associate Professor,D002,kritikabains@example.org,3051827391,23
F0189,Ekbal Guha,Assistant Professor,D005,maniaayush@example.net,911842034,17
F0190,Vedhika Bal,Associate Professor,D001,chaitalyatwal@example.org,379991842,3
F0191,Xiti Puri,Professor,D002,manderamol@example.org,917241271,4
F0192,Yagnesh Nagi,Associate Professor,D003,keyazachariah@example.net,6071580938,21
F0193,Rehaan Bali,Professor,D004,tpandey@example.org,6839757446,22
F0194,Aayush Peri,Associate Professor,D003,wsolanki@example.com,194791883,3
F0195,Darika Khosla,Assistant Professor,D005,dayita15@example.com,5920199193,19
F0196,Vedhika Cherian,Assistant Professor,D005,bhavini46@example.com,3485856456,19
F0197,Warjas Halder,Professor,D002,watika39@example.org,2605029341,10
F0198,Samesh Warrior,Professor,D005,falakkeer@example.com,918808183,11
F0199,Sanaya Wali,Professor,D005,nilimaramachandran@example.org,2126914131,13
F0200,Ojasvi Rao,Professor,D003,amadan@example.org,858698878,9
F0201,Ishita Dayal,Assistant Professor,D004,gkulkarni@example.net,3374714456,21
F0202,Finn Chauhan,Professor,D004,hamsinimani@example.org,918317160,24
F0203,Devika Bakshi,Assistant Professor,D002,ggolla@example.net,4144712976,24
F0204,Lohit Kala,Assistant Professor,D002,choudhryjanya@example.org,914381166,23
F0205,Pallavi Dewan,Associate Professor,D004,ochar@example.org,913894782,13
F0206,David Ratta,Professor,D004,shuklatimothy@example.com,912957553,20
F0207,Rishi Borra,Assistant Professor,D005,bansalbalveer@example.net,916202895,11
F0208,Aarnav Parsa,Assistant Professor,D001,ekaraj70@example.com,10645716,2
F0209,Lavanya Basu,Associate Professor,D002,naveen60@example.org,916331509,14
F0210,Jacob Mutti,Professor,D001,horaonveer@example.net,7456429120,7
F0211,George Goswami,Associate Professor,D003,zlala@example.com,4911515198,9
F0212,Bhavya Seth,Assistant Professor,D002,munshiagastya@example.org,336303456,16
F0213,Krishna Mani,Professor,D005,vincentkamdar@example.org,356913973,19
F0214,Aarini Saxena,Assistant Professor,D005,jhalakacharya@example.net,918887438,15
F0215,Bishakha Saini,Professor,D005,edivan@example.net,381293891,13
F0216,Vasatika Ahluwalia,Assistant Professor,D002,pdani@example.org,959704573,13
F0217,Libni Morar,Assistant Professor,D001,pathakmanbir@example.net,910548715,8
F0218,Mohammed D’Alia,Associate Professor,D004,devanshkrishnamurthy@example.net,240731194,5
F0219,Hardik Khatri,Associate Professor,D002,dbhatnagar@example.org,8932476045,3
F0220,Damini Gole,Assistant Professor,D003,umang69@example.net,912932375,24
F0221,Viraj Tiwari,Assistant Professor,D005,aroraoscar@example.net,607228240,19
F0222,Yutika Dasgupta,Assistant Professor,D001,bakshivinaya@example.org,912976756,20
F0223,Wazir Grover,Assistant Professor,D002,rudra94@example.net,916303403,2
F0224,Neha Samra,Assistant Professor,D005,gaganvora@example.com,713278980,12
F0225,Tanveer Keer,Associate Professor,D003,azadsavant@example.org,613444488,6
F0226,Bhavya Bose,Associate Professor,D002,xbahl@example.org,520970272,18
F0227,Bhavini Mane,Assistant Professor,D001,ydivan@example.net,518549188,25
F0228,Bishakha Kaul,Associate Professor,D002,natarajanqabil@example.com,846983118,23
F0229,Neel Sunder,Assistant Professor,D003,jalsanagi@example.net,454828759,17
F0230,Gavin Mani,Professor,D004,hredhaandara@example.com,843033780,16
F0231,Theodore Borde,Professor,D004,rdutta@example.net,7309110729,21
F0232,Nidra Borah,Assistant Professor,D001,ektakhatri@example.com,5217460234,8
F0233,Gunbir Babu,Associate Professor,D004,harinakshi34@example.com,911707788,25
F0234,Elijah Pai,Associate Professor,D001,marora@example.com,916034512,18
F0235,Nandini Som,Assistant Professor,D003,janaki70@example.net,22599485,7
F0236,Netra Balakrishnan,Professor,D005,daraeesha@example.com,3596318824,7
F0237,Inaya Saraf,Professor,D005,zdalia@example.net,3566173468,17
F0238,Vritti Varma,Assistant Professor,D004,vasudha44@example.com,918833574,19
F0239,Varsha Gera,Professor,D002,unni74@example.com,913425607,3
F0240,Dominic Dey,Associate Professor,D002,warinder86@example.com,491695553,16
F0241,Quincy Loke,Associate Professor,D002,groversarthak@example.net,911069086,24
F0242,Azad Palan,Associate Professor,D004,avala@example.com,913826403,6
F0243,Vanya Mannan,Associate Professor,D001,upandey@example.net,3166535733,12
F0244,Karan Mand,Professor,D005,meghana94@example.net,1788476627,25
F0245,Triveni Gour,Professor,D003,pinglekrisha@example.net,2836883991,24
F0246,Raksha Rattan,Professor,D005,fitan10@example.com,5451218518,13
F0247,Benjamin Vohra,Professor,D001,eeshamannan@example.com,198302167,9
F0248,Kavya Pingle,Assistant Professor,D005,jagdish34@example.org,1368033689,20
F0249,Max Dugal,Professor,D003,swaminathanabhiram@example.net,4114371878,21
F0250,Hemal Pillay,Associate Professor,D001,brijesh42@example.com,117578539,2
F0251,Sai Bassi,Associate Professor,D002,psabharwal@example.org,339184882,18
F0252,Amaira Shere,Associate Professor,D005,urvi83@example.net,280272811,11
F0253,Kala Kata,Associate Professor,D002,amarakamdar@example.net,915269826,12
F0254,Triveni Chatterjee,Assistant Professor,D005,damini99@example.net,910200077,8
F0255,Dayamai Badal,Associate Professor,D004,wrideshmurty@example.com,2968456369,18
F0256,Wridesh Arora,Associate Professor,D003,gaurang63@example.com,6693091947,22
F0257,Hemangini Bal,Professor,D004,cdoctor@example.org,5119090154,23
F0258,Ethan Dora,Associate Professor,D004,tanay24@example.com,6814193535,24
F0259,Thomas Deshpande,Assistant Professor,D005,sinhavarsha@example.com,4708908496,2
F0260,Devansh Desai,Associate Professor,D003,ethakkar@example.net,916351092,14
F0261,Samar Bath,Assistant Professor,D002,rajeshrikannan@example.net,139972103,12
F0262,Dalbir Sheth,Professor,D001,onigam@example.org,918182201,17
F0263,Lavanya Golla,Professor,D005,nachiket88@example.org,206189336,3
F0264,Pavani Kuruvilla,Associate Professor,D003,nehagarde@example.org,926696510,23
F0265,Ekaraj Walia,Assistant Professor,D005,ndivan@example.net,124584629,12
F0266,Irya Dhingra,Professor,D004,xagarwal@example.com,914231143,4
F0267,Tarak Hora,Associate Professor,D003,iryagade@example.net,9254112966,16
F0268,Bhavika Naidu,Associate Professor,D001,dalbirjohal@example.org,917124091,8
F0269,Eiravati Shankar,Professor,D004,ati84@example.com,903386638,18
F0270,Qasim Taneja,Associate Professor,D001,zkrishnan@example.com,764151229,14
F0271,Damini Bora,Associate Professor,D003,chamelibawa@example.org,910141541,16
F0272,William Kala,Professor,D002,rudragoswami@example.com,8367727710,22
F0273,Oscar Agarwal,Assistant Professor,D005,tprashad@example.org,858843126,15
F0274,Tripti Golla,Associate Professor,D004,advik05@example.net,2657997444,11
F0275,Aradhana Pandya,Associate Professor,D004,keyachaudhary@example.com,954401721,17
F0276,Irya Rao,Professor,D004,ochopra@example.com,917571096,23
F0277,Mahika Chatterjee,Assistant Professor,D005,amolissac@example.net,912739453,16
F0278,Wahab Sridhar,Professor,D003,vrinda12@example.org,5329476720,12
F0279,Upasna Chacko,Professor,D003,srinivasannathan@example.com,8821003285,16
F0280,Jeevika Jani,Professor,D002,pratyushraja@example.net,3077862630,16
F0281,Vasana Sen,Assistant Professor,D003,narayanbrijesh@example.org,2538048169,21
F0282,Chameli Agate,Associate Professor,D002,balveer26@example.com,917131627,2
F0283,Zehaan Radhakrishnan,Assistant Professor,D004,kbedi@example.net,917015648,7
F0284,Saanvi Sura,Assistant Professor,D004,ekalingakunda@example.org,51443902,18
F0285,Wahab Doshi,Associate Professor,D003,samaksh59@example.net,911580553,8
F0286,Kavya Dyal,Assistant Professor,D001,goswamiforum@example.org,530393219,25
F0287,Rachana Wason,Professor,D003,minhaskashvi@example.net,244777217,21
F0288,Dayita Gour,Associate Professor,D001,hchoudhary@example.com,911120561,17
F0289,Ranbir Kari,Professor,D004,saramukhopadhyay@example.net,2523797223,10
F0290,Om Basu,Professor,D002,bhardwajindira@example.org,935791083,2
F0291,Bhavini Minhas,Assistant Professor,D003,kadakialakshit@example.net,9054300055,16
F0292,Mohammed Dar,Associate Professor,D002,zayyankhalsa@example.org,768915818,5
F0293,Ayushman Oak,Associate Professor,D005,chaaya31@example.net,910172913,22
F0294,Charan Dutt,Associate Professor,D004,neha14@example.net,9339886500,22
F0295,Onkar Ratti,Associate Professor,D003,jeet66@example.org,5776348537,25
F0296,Siya Verma,Associate Professor,D004,jcomar@example.net,919329560,7
F0297,Varsha Rout,Professor,D004,varmajonathan@example.net,5640224659,13
F0298,Netra Dasgupta,Assistant Professor,D004,vsehgal@example.net,3431368751,21
F0299,Gaurika Balakrishnan,Professor,D005,hayerdivya@example.com,917442701,2
F0300,Jasmit Sibal,Professor,D005,benjaminhans@example.net,914851166,19
F0301,Karan Sawhney,Associate Professor,D005,vganesh@example.org,627880636,5
F0302,Shivansh Anne,Assistant Professor,D002,warjas61@example.com,809209452,14
F0303,Udyati Bir,Associate Professor,D003,xparmar@example.com,910469154,14
F0304,Radhika Agrawal,Assistant Professor,D005,wbal@example.net,320645634,15
F0305,Dakshesh Sarna,Assistant Professor,D003,jonathan82@example.com,915450485,20
F0306,Dalbir Acharya,Professor,D004,samrarachit@example.net,914556083,23
F0307,Advaith Bera,Assistant Professor,D005,sherebanjeet@example.com,912374697,12
F0308,Aachal Bava,Associate Professor,D002,rajata04@example.org,134321785,25
F0309,Rachit Arya,Professor,D001,chameli16@example.com,4963831432,22
F0310,Leena Bhatt,Associate Professor,D004,netrachaudhry@example.net,6604537145,13
F0311,Naksh Brahmbhatt,Associate Professor,D002,qabilyohannan@example.com,3898896,14
F0312,Yug Karpe,Associate Professor,D001,kchaudhuri@example.net,705448658,7
F0313,Oeshi Datta,Associate Professor,D004,bahadurjitraman@example.net,8468353722,3
F0314,Janaki Mohan,Assistant Professor,D004,liam70@example.org,107506058,23
F0315,Panini Dass,Associate Professor,D005,surgavin@example.com,916783765,11
F0316,Hemani Tata,Assistant Professor,D005,krishnanvamakshi@example.com,452715382,3
F0317,Tarak Mani,Professor,D003,varugheseimaran@example.com,319141531,21
F0318,Utkarsh Bali,Professor,D001,bhaktajanani@example.com,8605981668,13
F0319,Chameli Apte,Associate Professor,D001,sakshamvasa@example.com,108555459,16
F0320,Aradhana Sagar,Assistant Professor,D004,chandrangandhi@example.com,2623785688,22
F0321,Janya Padmanabhan,Assistant Professor,D004,aarnav48@example.net,5809379650,20
F0322,Irya Gara,Assistant Professor,D001,michaelpathak@example.org,810886655,9
F0323,Yachana Mittal,Associate Professor,D002,ysaraf@example.net,716270104,15
F0324,Bhavna Bhasin,Assistant Professor,D002,jchakrabarti@example.com,930871604,24
F0325,Madhavi Dixit,Professor,D003,saurora@example.com,152786880,8
F0326,Parth Barad,Professor,D002,adyathakkar@example.org,915348042,22
F0327,Aachal Mall,Associate Professor,D004,lpalan@example.com,890985708,14
F0328,Yash Pathak,Associate Professor,D002,ektaradhakrishnan@example.com,915041518,2
F0329,Ranbir Nazareth,Assistant Professor,D001,leenabal@example.com,915559167,3
F0330,Bhavani Dutt,Associate Professor,D005,gaurikawalla@example.net,9981160403,11
F0331,Zehaan Sundaram,Professor,D005,hagrawal@example.net,914949703,15
F0332,Omkaar Chahal,Assistant Professor,D003,gavindevan@example.net,2704903750,24
F0333,Nimrat Rama,Associate Professor,D001,nmander@example.net,856652020,8
F0334,Samarth Mammen,Professor,D003,mananmurty@example.net,756117754,18
F0335,Tristan Jhaveri,Assistant Professor,D004,eshanayogi@example.org,960978559,22
F0336,Kala Goyal,Assistant Professor,D005,wgade@example.net,8749127888,14
F0337,Meghana Dewan,Assistant Professor,D003,ikbal71@example.net,589368860,7
F0338,Jacob Saxena,Professor,D003,balapallavi@example.org,2438187642,13
F0339,Lekha Mandal,Assistant Professor,D002,tandonfaraj@example.com,9382755264,17
F0340,Ayush Lalla,Assistant Professor,D005,teerth47@example.com,482905712,22
F0341,Chaaya Srivastava,Assistant Professor,D005,maanasnori@example.com,910273645,13
F0342,Zashil Lall,Professor,D005,vidhi70@example.net,3195857737,24
F0343,Bhavika Varkey,Professor,D005,shravyabadal@example.org,4105164458,21
F0344,Balvan Raju,Assistant Professor,D001,svenkatesh@example.org,9723969481,8
F0345,Tejas Bhatnagar,Professor,D004,fkari@example.org,919615195,15
F0346,Vedhika Subramanian,Associate Professor,D005,tagarwal@example.net,914846404,13
F0347,Devansh Menon,Assistant Professor,D003,michael05@example.com,309913076,11
F0348,Jacob Sathe,Assistant Professor,D001,nitesh97@example.org,4015730375,5
F0349,Aashi Chatterjee,Associate Professor,D003,yastihora@example.net,312376999,23
F0350,Anusha Sagar,Professor,D003,aptejoshua@example.com,913484314,5
F0351,Wahab Mann,Associate Professor,D002,ayush39@example.org,1256320999,2
F0352,Leela Saxena,Professor,D002,bhavyagrewal@example.net,910510442,5
F0353,Sudiksha Thakkar,Associate Professor,D005,siddharth76@example.com,470149791,23
F0354,Anusha Vyas,Associate Professor,D001,nbabu@example.org,569535001,7
F0355,Manbir Karan,Associate Professor,D003,rajagopalkavya@example.net,5618076620,18
F0356,Brinda Mane,Assistant Professor,D003,ansh42@example.com,93558803,5
F0357,Yauvani Mutti,Assistant Professor,D001,lbassi@example.org,6355902518,5
F0358,Amara Dutt,Associate Professor,D005,nsaxena@example.net,5329368866,18
F0359,Abha Chaudhuri,Assistant Professor,D004,gardetanay@example.net,5254822963,8
